current_body_type,goal_body_type,age,height,weight,sleep_hours,exercise_frequency,daily_steps,alcohol_consumption,smoking,calorie_intake,protein_intake,fat_intake,BMI,activity_level,recommended_calories,recommended_protein,recommended_fat,recommended_carbs
overweight,muscle_gain,25,151,93.2,6.0,1,14066,0,0,1841,88.8,85.4,40.88,sedentary,2412,180.5,72.8,258.7
normal,muscle_gain,52,176,59.3,7.4,6,2106,0,1,2101,79.1,57.2,19.14,light,2374,98.3,75.1,326.2
overweight,fat_loss,34,152,92.4,7.1,3,3291,1,1,1864,88.7,70.3,39.99,sedentary,1730,195.3,55.1,113.2
overweight,muscle_gain,42,167,74.5,8.3,1,8065,1,0,2652,68.5,101.0,26.71,sedentary,2241,139.9,56.5,293.2
normal,muscle_gain,53,164,89.5,8.4,6,2916,0,0,1892,128.8,89.7,33.28,moderate,3056,160.1,90.2,400.9
overweight,muscle_gain,43,179,54.3,5.6,5,11197,1,1,2107,81.4,85.7,16.95,moderate,2573,111.5,81.8,347.7
overweight,muscle_gain,27,190,55.4,7.7,4,3040,1,1,3159,77.7,50.8,15.35,moderate,2981,92.4,95.6,437.8
overweight,fat_loss,35,171,52.3,6.7,3,2053,1,0,2978,60.4,63.9,17.89,moderate,1808,107.6,51.0,229.7
skinny,fat_loss,51,150,83.9,7.0,0,7947,1,0,1919,95.7,54.8,37.29,sedentary,1337,161.1,31.6,102.1
overweight,muscle_gain,48,185,55.7,7.1,4,8932,0,0,3193,69.9,80.7,16.27,active,2981,104.2,74.5,473.4
overweight,recomposition,22,171,46.4,7.2,4,5608,0,0,2120,66.5,110.2,15.87,sedentary,1631,88.6,41.3,226.2
normal,muscle_gain,49,163,80.1,7.9,4,11440,1,0,1932,101.0,74.8,30.15,light,2577,150.6,78.1,317.9
skinny,recomposition,24,153,71.2,6.4,6,3790,0,0,1996,66.1,82.4,30.42,active,2598,132.9,82.6,330.8
skinny,muscle_gain,53,156,48.3,9.0,6,2241,0,0,2473,67.9,113.2,19.85,active,2408,88.3,79.9,333.9
skinny,muscle_gain,34,179,63.5,7.8,5,14834,1,0,3156,76.5,88.0,19.82,light,2675,113.5,60.9,418.2
skinny,recomposition,48,182,104.8,7.1,0,10320,0,0,2745,101.1,58.4,31.64,sedentary,2385,183.2,68.8,258.2
skinny,muscle_gain,23,176,87.7,7.3,2,6272,0,1,1983,109.8,82.0,28.31,active,3712,189.6,82.9,551.9
skinny,muscle_gain,54,156,49.8,5.9,2,4170,1,0,2020,68.9,99.2,20.46,moderate,2328,109.1,72.6,309.6
skinny,fat_loss,51,150,88.4,7.2,5,3697,0,1,2181,108.1,100.2,39.29,light,1808,177.9,57.3,145.2
skinny,fat_loss,50,181,61.3,8.6,0,3512,1,1,2879,76.4,68.3,18.71,moderate,1834,114.3,55.1,220.2
overweight,recomposition,53,150,52.3,8.8,5,4442,0,1,2401,43.4,75.5,23.24,light,1560,111.9,38.3,191.9
skinny,fat_loss,33,156,68.0,7.2,6,8658,0,0,1834,89.5,73.3,27.94,active,2173,141.5,69.2,246.0
skinny,muscle_gain,33,167,55.3,7.8,3,2634,1,0,2227,75.0,65.9,19.83,moderate,2532,110.4,67.5,370.7
skinny,fat_loss,35,154,107.8,6.1,5,10346,1,1,2049,158.9,68.6,45.45,moderate,2572,211.1,67.0,281.1
skinny,recomposition,38,177,84.4,7.0,3,11446,0,1,1802,122.2,87.7,26.94,active,3129,182.7,95.2,385.4
overweight,muscle_gain,30,173,73.0,8.8,2,12209,1,0,2733,75.1,98.8,24.39,moderate,3023,122.4,81.3,450.4
skinny,muscle_gain,42,161,85.0,6.2,4,2006,1,1,2450,94.3,65.0,32.79,moderate,2980,176.5,98.0,348.0
overweight,muscle_gain,28,155,63.4,7.7,4,7491,0,0,2929,57.3,53.2,26.39,light,2439,124.7,75.0,316.3
normal,fat_loss,47,176,102.6,7.3,5,13409,1,1,2718,82.5,102.6,33.12,light,2110,218.7,65.1,162.3
normal,fat_loss,32,161,97.3,7.8,3,2822,0,0,2734,145.1,91.7,37.54,active,2653,207.7,77.0,282.3
normal,fat_loss,50,177,99.0,7.2,1,14184,1,1,2872,115.3,93.9,31.6,moderate,2499,184.5,75.3,270.8
normal,recomposition,33,167,66.8,8.6,0,4267,0,0,2788,56.4,78.5,23.95,light,2171,125.6,49.7,305.3
skinny,muscle_gain,44,174,103.8,7.3,5,2320,1,1,2854,145.1,116.7,34.28,moderate,3368,199.6,102.3,412.2
overweight,fat_loss,32,181,59.3,6.7,0,8371,1,1,3087,88.1,87.4,18.1,active,2306,115.9,68.2,307.1
skinny,muscle_gain,23,177,53.8,6.8,0,6262,1,1,2272,76.2,69.5,17.17,moderate,2785,94.2,64.4,457.1
skinny,fat_loss,19,184,48.4,8.8,1,12651,0,0,2974,59.8,66.7,14.3,light,1702,96.9,48.5,219.5
normal,fat_loss,31,179,90.5,8.1,1,11926,0,0,3100,108.9,113.6,28.25,sedentary,1852,166.3,55.9,170.9
overweight,fat_loss,22,187,89.9,7.5,0,13422,1,0,2545,113.5,54.8,25.71,moderate,2577,162.2,81.6,298.5
skinny,recomposition,49,156,73.2,6.4,6,9532,0,1,2662,105.7,104.2,30.08,moderate,2292,136.3,69.6,280.1
normal,recomposition,35,170,100.4,8.3,0,6569,1,0,2270,115.1,72.8,34.74,active,3295,173.4,102.4,419.9
